ID	Character	Sprite 	Dialogue	Next Index	Transtion Type	Transition Description	Trigger
66	코즈키 칸나	Default	.. 아카네 아주머니는 괜찮으신가요??	67			
67	츠네모리 유우지1	Default	…............	68			
68	츠네모리 신야	Smile	칸나네 아빠 덕분에 좋은 병원에서 잘 치료받고 있단다.	69			
69	츠네모리 신야	Smile	...아이도 곧 태어날꺼야. 신지는 집에 있니?	70			
70	코즈키 칸나	Smile	네. 아빠는 어제 병원에서 퇴근하시고 엄마랑 집에 같이 계셔요!	71			
71	츠네모리 신야	Smile	… 그래? 이따 가봐야겠구나..	72			
72	츠네모리 유우지1	Default	.. 아빠 저는 엄마한테 언제 갈 수 있어요??..	73			
73	츠네모리 신야	Default	의사 선생님은 아직 안정을 취하라고 하긴 하는데…	74			
74	츠네모리 신야	Smile	흠.. 그럼 오늘 아빠랑 가볼까?? 	75			
75	츠네모리 유우지1	Smile	네! 좋아요!	76			
76	코즈키 칸나	Smile	잘 됐다. 유우지! 켄타 우리는 그럼 이제 가볼까? 대신 누나랑 숨바꼭질하자.	77			
77	코즈키 켄타	Smile	진짜지?? 누나가 술래해!	78			
78	코즈키 켄타	Smile	유우지! 내일 우리 집으로 놀러 와!! 내일은 날 절대 못 찾을 거라고!!!	79	Before	켄타가 현관을 향해 걸어간다.	
79	츠네모리 유우지1	Perplexity	... 내가 못 찾을리가 없잖아...	80			
80	코즈키 칸나	Smile	하하… 안녕하계세요. 아저씨. 유우지 잘 다녀와!!	81			
81	츠네모리 신야	Smile	….여전히 활기찬 남매야.	82	Before	켄타는 이미 시야에서 사라졌고, 칸나가 뒤 따라 나간다.	
82	츠네모리 신야	Smile	유우카도 칸나처럼 이쁘고 예의바르게 크면 좋겠네.	83			
83	츠네모리 유우지1	Perplexity	유우카요??	84			
84	츠네모리 신야	Default	그래 네 여동생 이름이란다.	85			
85	츠네모리 유우지1	Smile	… 유우카 이쁜 이름이네요.	86			
86	츠네모리 신야	Smile	그렇지? 사이 좋은 남매로 지내야 한다?	87			
87	츠네모리 유우지1	Smile	네!!	88			
88	츠네모리 신야	Default	그럼 엄마랑 유우카 보러 갈 준비 할까?	89			
89	츠네모리 신야	Default	아빠는 서재에서 짐 좀 챙겨 나올게.	90			
90	츠네모리 유우지1	Perplexity	아!.. 아빠 사실은 아까 서재에 들어갔었는데..	91	Before	신야가 거실에서 서재로 간다.	
91	츠네모리 유우지1	Perplexity	못 들으셨나 보네.. 일기장에서 나온 메모를 돌려 드려야 하는데..	92			
92	츠네모리 유우지1	Perplexity	... 혼날 수도 있으니 이따 몰래  원래대로 해놔야겠다.	93			
93	츠네모리 유우지1	Default	그나저나.. 대체 무슨 단어지?? 영어인 것 같은데..	94	Before	아까 획득한 메모 일러스트가 확대된다.	
94	츠네모리 유우지1	Perplexity	(… 또 이소리다. 얼마 전부터 나기 시작한).. 아빠?!	95	Before	화면이 흔들리며 온 집안이 흔들린다. 사운드도 난다.	
95	츠네모리 신야	Perplexity	…. 분명 옆집에서 나는 소리인데...	96	Before	신야가 서재에서 걸어 나와 유우지 앞에 선다.	
96	츠네모리 신야	Smile	.. 유우지 아빠가 켄타네에 다녀오마. 기다리고 있으렴.	97			
97	츠네모리 유우지1	Default	이사오고 처음에는 저런 소리가 안났는데, 왜 갑자기 저런 소리가 계속 나는거지??	-1	Both	츠네모리 신야가 거실에서 현관을 향해 걷고 집을 나간다. 신야가 나간 후 대사가 출력되고 카메라가 Fade Out하여 어두워진다.	
98	츠네모리 유우지1	Default	아빠가 왜 이리 늦으시지? … 나도 나가보자..		Before	카메라가 Fade In하여 밝아진다.	
99	츠네모리 유우지1	Perplexity	.. 저 빛이 나는 건 뭔지?	-1	Before	플레이어가 문 밖으로 나가면 마당에 빛이 나는 기억의 조각이 있다. 카메라는 기억의 조각을 한번 보여주고 다시 유우지 초점으로 돌아온다.	
100	츠네모리 유우지1	Perplexity	으으윽… 머리야.. 대체 무슨 일이 있었던 거지?		Before	플레이어가 기억의 조각을 e키로 눌러 과거 회상을 하고 온다.	
101	츠네모리 유우지1	Perplexity	... 분명 나는 아빠를 찾으러 나와서..	-1			
102	츠네모리 유우지1	Perplexity	아빠!! 켄타!!! 칸나 누나!!! 신지 아저씨!! 미에 아줌마!!	-1	Both	플레이어가 켄타네 집 앞으로 가서 열려 있는 현관문을 e로 클릭한다.	
103	츠네모리 유우지1	Horror	칸나 누나..?	106	Before	프렌체스카식 연출 진행. 	칸나 머리가 떨어진 후 e키 클릭
104	츠네모리 유우지1	Afraid	으아아악악!!	107			
105	츠네모리 유우지1	Afraid	… 아빠…?	108	Before	현관 문 앞에서 유우지가 뒷 걸음질 치고 쓰러진다. 그리고 비가 오기 시작하고 유우지가 젖는다. 카메라의 초점은 유우지의 정신과 눈 깜빡임을  반영하듯 점점 흐려진다.	
106	의문의 인물	Default	.....	-1	Both	흐려진 카메라는 쓰러진 유우지를 비추고 있다. 그런 유우지 옆으로 한 실루엣이 걸어 온다. 그리고 대사 출력 후 Fade Out	
