ID	Character	Sprite 	Dialogue	Next Index	Transtion Type	Transition Description	Trigger
30	스즈키 토우마	Default	유우지. 김신이 살인자가 아니라면, 너가 직접 진범을 잡아 오지 그래? 	31			
31	스즈키 토우마	Default	혹시 모르지? 귀신이 나온다는 그 집에 다시 가면 조그만한 단서라도 찾을지?	32			
32	스즈키 토우마	Smile	뭐. 너한테는 그런 용기조차 없겠지만?	33			
33	츠네모리 유우지	Angry	적당히 지껄ㅇ	34	Both	유우지가 자리에서 일어나 토우마에게 간다. 동시에 종소리가 난다.	
34	코즈키 료고	Default	종쳤다 앉아라.	35	Before	교실 문 열리는 소리가 나면서 료고가 교실 앞 문으로 들어온다.	교실 문을 열고 료고가 교실로 들어오자마자 
35	코즈키 료고	Default	… 너네 끼리 장난치는 건 상관없지만, 적당히 해라.	36	Before	료고가 교탁 앞으로 간다.	교탁 앞에서
36	스즈키 토우마	Smile	네~	37			
37	츠네모리 유우지	Default	(내가 어떤 짓을 당하든 저 사람은 관심이 없다.. 저 사람은 칸나 누나의 삼촌이니까…) 네.	-1	After	토우마가 자신의 자리로 이동한다. 유우지가 자신의 자리에 앉는다. 대사가 끝난 후 Fade Out	
38	코즈키 료고	Default	그렇게 19세기 네덜란드 선교사와 상인에 의해 다이세츠 지역에 서양의 문물이 들어왔고, 메이지 유신과 함께 이 지역도 근대화 된 것을 확인할 수 있지. 	39	Before	대사 시작 전 Fade In	이전 대사 끝난 후 3초 있다가 시작
39	코즈키 료고	Default	.. 너네가 저주받은 집이라 부르는 그 저택이 다이세츠 지역 최초의 서양식 건축물이다.	40			
40	코즈키 료고	Default	… 나머지는 다음 수업 때 하기로 하고, 질문있으면 지금해라.	41			
41	후지 다나카	Smile	선생님! 귀신은 존재하나요?	42			
42	코즈키 료고	Default	역사 수업에 전혀 관계없는 질문은 삼가라 다나카	43			
43	후지 다나카	Smile	아니~ 역사적으로 귀신같은 게 없었나 해서요~	44			
44	코즈키 료고	Default	... 역사적 기록보다는 신화나 창작물에 가깝지. 일본 건국 신화에 나오는 태양의 신 아마테라스도 크게 보면 귀신이라 할 수 있겠지.	45			
45	츠네모리 유우지	Default	(그 때의 신사가 생각나네)…	46			
46	후케 토우지	Default	뭔가 싱겁네.	47			
47	코즈키 료고	Default	이상한 소문에 신경쓰지 말고 공부나 열심히 해라. 너네 내년에 고등학생이야.	48			
48	코즈키 료고	Default	그리고 진학 희망서 제출 안한 학생은 빨리 제출해라.	49	After	카메라의 시점이 고정에서 유우지 쪽으로 확대가 된다.	
49	코즈키 료고	Default	이상한 곳에 새지말고 바로 집에 갈 수 있도록. 이상!	50			
50	츠네모리 유우지	Default	…. 진학 희망서라…	51			
51	츠네모리 유우지	Default	이 지긋지긋한 곳을 떠나고 싶긴하네..	52	After	대사 후 Fade out	
52	츠네모리 유우지	Default	… 유우카는 집에 도착했으려나? 집이나 빨리 가자..	-1	Before	대사 전 Fade in 교문 앞에 서있는 유우지.	학교 교문 앞에서
53	기노자 사이고	Default	어이! 김신 아들!	54	Before	유우지가 걸어서 경찰서 앞을 지난다.	경찰서 앞에 지날 때
54	츠네모리 유우지	Default	?! 윽.. 기노자..	55	Before	기노자 사이고가 걸어서 유우지 앞으로 다가온다.	다가오고 난 후
55	기노자 사이고	Smile	음침하긴.. 그러니 괴롭힘 당하는거야.	56			
56	츠네모리 유우지	Angry	조용이 해! 당신이 그런 소리를 할 자격은 없어. 우리가 누구 때문에..	57			
57	기노자 사이고	Smile	... 여전히 싸가지는 없네. 그건 그렇고 김신한테서 뭐 받은 거 없냐?	58			
58	츠네모리 유우지	Angry	하.. 나도 그 사건 이후로 아빠를 본 적이 없다니까!!	59			
59	츠네모리 유우지	Serious	.... 그리고 말이 행방불명, 실종이지.. 이미 죽었을 수도 있는 거고.	60			
60	기노자 사이고	Default	흠.. 아니 내 감이 말하고 있어. 분명 김신은 살아있고, 분명 너를 만나러 올 것이라고.	61			
61	츠네모리 유우지	Default	그 감 때문에 도쿄에서 이런 촌구석으로 좌천 당한 주제에..	62			
62	기노자 사이고	Default	윽…. 그래서 나는 반드시 코즈키가 사건의 용의자 김신을 잡아야만 해!	63			
63	기노자 사이고	Angry	기다려라 도쿄!! 이 기노자 사이고가 다시 간다!!	64			
64	츠네모리 유우지	Default	(이런 사람이 경찰이라니..)…. 도쿄는 어떤 곳이야?	65			
65	츠네모리 유우지	Default	? 도쿄는 말 그대로 도쿄다 최고의 도시지!	66			
66	기노자 사이고	Smile	…. 도쿄에 가고 싶냐?	67			
67	츠네모리 유우지	Default	…... 그냥 다른 곳에 가보고 싶은 것 뿐이야.	68			
68	기노자 사이고	Smile	가면 되잖냐?	69			
69	츠네모리 유우지	Serious	그렇게 쉽게 얘기 하지마!	70			
70	기노자 사이고	Default	…....	71			
71	츠네모리 유우지	Angry	당신이 우리 아빠를 살인마로 만들었잖아!!	72			
72	기노자 사이고	Default	정황상 유력했던 것은 사실이야.. 김신이 도망치지만 않았어도 나도 그렇게 무리하게 수사하지는 않았을 거야.	73			
73	츠네모리 유우지	Serious	우리 아빠가 전직 군인에 한국사람이라서 그런 것은 아니고?	74			
74	기노자 사이고	Default	.....	75			
75	츠네모리 유우지	Default	아빠가 그랬을 리가 없어. 그리고 분명히 그 곳에는 우리말고 다른 사람도 있었어	76			
76	기노자 사이고	Default	그러니까 그걸 증명할 수가 없잖아.	77			
77	기노자 사이고	Default	김신은 옆 집 소음에 항의하러 갔고, 그 과정에서 분노해 우발적으로 살인을 저질렀다. 그리고 도주했다. 어때 그럴 듯 하지 않아?	78			
78	츠네모리 유우지	Serious	.. 고작 그런 이유로 그 짧은 시간에 그렇게 잔인하게 사람을 죽였다고?	79			
79	기노자 사이고	Default	... 전직 특수부대 출신이라면 가능할 수도 있지..	80			
80	츠네모리 유우지	Angry	그냥 아빠를 살인마로 만들고 싶은 거겠지. 당신이야 말로 살인마야 우리 엄마를 죽게 한!!!	81	After	유우지가 경찰서 앞 기노자를 두고 뛰쳐나간다. 카메라는 혼자 남아있는 기노자를 보여주고 Fade Out	
81	츠네모리 유우지	Default	... 비가 오네..	-1	Before	장소가 경찰서 앞이 아닌 시장 앞으로 변하고 유우지는 시장 앞을 혼자 걷고 있다. 동시에 마을 주민들은 유우지를 보며 수근거린다. 그리고 비가 오기 시작한다. 유우지의 몸은 점점 젖는다. 그렇게 유우지는 그 자리에 멈춘다.	비가 오는 상황에서
82	토마 코자부로	Default	꼴이 말이 아니구나 유우지.	83	Before	토마 목사가 유우지를 향해 걸어 온다.	유우지 앞에 도착한 후
83	츠네모리 유우지	Default	토마 목사님.. 웬일로 밖에 나와 계시네요.	84			
84	토마 코자부로	Smile	나는 비오는 날을 좋아한단다.	85			
85	츠네모리 유우지	Default	저는 비오는 날이 싫어요,,	86			
86	토마 코자부로	Default	…. 네가 지금 몇살이었지?	87			
87	츠네모리 유우지	Default	15살이요. 곧 16살이에요.	88			
88	토마 코자부로	Smile	벌써 그 날 이후 10년이 지났구나..	89			
89	츠네모리 유우지	Default	목사님이 저와 유우카를 거둬주지 않으셨다면 저희는 큰일났을 거에요.	90			
90	토마 코자부로	Smile	나도 받은 것을 돌려주는 것이니, 너무 신경말거라	91			
91	츠네모리 유우지	Default	그 날 이후 아빠는 사라지고 병원에 계신 엄마를 도와준 것은 분명 목사님이니까요.	92			
92	츠네모리 유우지	Default	비록 엄마는 유우카를 낳고 얼마 못 가 돌아가셨지만, 분명 엄마는 목사님께 감사하고 있을 거에요.	93			
93	토마 코자부로	Default	.. 스즈키 시장의 도움이 컸지..	94			
94	츠네모리 유우지	Default	알고 있어요..	95			
95	츠네모리 유우지	Default	목사님.. 아빠는 지금 어디 계실까요? 	96			
96	토마 코자부로	Default	아빠를 원망하니?	97			
97	츠네모리 유우지	Default	잘 모르겠어요.. 하지만 저도 이제 지긋지긋해요.	98			
98	츠네모리 유우지	Perplexity	그냥 저를 아무도 모르는 곳에서 새롭게 시작하고 싶어요.	99			
99	츠네모리 유우지	Perplexity	코즈키가 사건의 용의자 아들이 아닌, 김신의 아들이 아닌 그냥 나로 살고 싶어요.	100			
100	토마 코자부로	Smile	나도 예전에는 이 곳을 떠나려고 했단다.	101			
101	토마 코자부로	Default	실제로 떠나기도 했었지.. 	102			
102	츠네모리 유우지	Default	그런데 왜 다시 돌아 오셨나요?	103			
103	토마 코자부로	Default	도망친 것 같았거든. 내가 해야할 일을 하지 않은 것 같았어.	104			
104	토마 코자부로	Default	그리고 나를 거두어 주신 은사님이 항상 하시던 말씀이 머리에 계속 맴돌았단다.	105			
105	츠네모리 유우지	Default	어떤 말씀이요?	106			
106	토마 코자부로	Default	"""나는 주 너의 하나님이다. 내가 너의 오른손을 붙잡고 있다. 내가 너에게 말한다. 내가 너를 돕겠다"""	107			
107	츠네모리 유우지	Default	성경 말씀이군요.	108			
108	토마 코자부로	Default	맞서 싸우렴. 유우지. 내가 너를 도울테니..	109			
109	츠네모리 유우지	Default	감사합니다. 먼저 가 볼게요.	110	After	유우지가 먼저 자리를 피한다. 그리고 비가 멈추고 해가 뜨기 시작한다.	
110	토마 코자부로	Default	…..	-1	Before	카메라의 시점은 유우지를 따라가지 않고 여전히 유우지와 토마 목사의 대화 시점이다. 토마 목사는 유우지가 떠나는 것을 지켜보고 있다. 그리고 Fade Out	유우지가 시야에서 사라진 후
111	츠네모리 유우지	Default	참 많은 일이 있던 하루였네…	112	Before	유우지 현재 집 외부를 보여주고 내부로 카메라가 이동한다. 유우지는 자신의 방에 있다.	Fade In 직후
112	츠네모리 유우지	Default	결국 기노자에게 말하지는 않았지만, 그 사건 이후 조사를 이유로 아빠의 모든 물건을 가져가던 경찰의 눈을 피해 아빠의 일기장에서 떨어진 쪽지 하나를 챙겼다.	113	Before	유우지가 책상 앞으로 이동한다.	책상 앞에서 e키를 눌러 쪽지를 누른다.
113	츠네모리 유우지	Default	"""XLIXVII"" 대체 무슨 단어인 걸까.."	114	Before	쪽지 일러스트가 나온다.	쪽지 일러스트가 화면을 채우고 다시 원래 시점으로 돌아온 후
114	츠네모리 유우카	Default	오빠! 내려 와! 같이 밥 먹자!!!	115	Both	느낌표 애니메이션	113번 대사 출력 후 3초 정도 뒤에
115	츠네모리 유우지	Perplexity	(급하기는..) 내려갈께~	-1	After	유우지가 책상 앞에서 문쪽으로 이동하고 Fade out	
